gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,budget_start,alpha,q_start,objective_value,chip_played,actual_squad_points,actual_lineup_points,actual_captain_points,actual_total_points
153,"Alejandro Garnacho, Alexander Isak, Bukayo Saka, Carl Rushworth, Cole Palmer, Diego Carlos Santos Silva, Joao Pedro Junqueira de Jesus, Jordan Pickford, Lucas Digne, Marc Guehi, Martin Ødegaard, Michail Antonio, Son Heung-min, Tyrick Mitchell, William Saliba","Alejandro Garnacho, Bukayo Saka, Cole Palmer, Diego Carlos Santos Silva, Joao Pedro Junqueira de Jesus, Jordan Pickford, Lucas Digne, Martin Ødegaard, Michail Antonio, Son Heung-min, William Saliba",Lucas Digne,Bukayo Saka,,,14.99999999999959,1000.0,0,1,266.14161803658965,,42.0,36.0,2.0,38.0
154,"Alexander Isak, Andrew Robertson, Bukayo Saka, Carl Rushworth, Cole Palmer, Joao Pedro Junqueira de Jesus, Jordan Pickford, Lucas Digne, Marc Guehi, Martin Ødegaard, Michail Antonio, Morgan Gibbs-White, Son Heung-min, Tyrick Mitchell, William Saliba","Alexander Isak, Andrew Robertson, Bukayo Saka, Cole Palmer, Joao Pedro Junqueira de Jesus, Jordan Pickford, Marc Guehi, Martin Ødegaard, Morgan Gibbs-White, Son Heung-min, Tyrick Mitchell",Son Heung-min,Bukayo Saka,"Andrew Robertson, Morgan Gibbs-White","Alejandro Garnacho, Diego Carlos Santos Silva",6.553942507596151e-13,14.99999999999959,0,2,262.5926262838824,,80.0,70.0,16.0,86.0
155,"Alexander Isak, Andrew Robertson, Bruno Borges Fernandes, Bukayo Saka, Carl Rushworth, Cole Palmer, Joao Pedro Junqueira de Jesus, Jordan Pickford, Lucas Digne, Marc Guehi, Martin Ødegaard, Michail Antonio, Morgan Gibbs-White, Tyrick Mitchell, William Saliba","Alexander Isak, Andrew Robertson, Bruno Borges Fernandes, Bukayo Saka, Cole Palmer, Joao Pedro Junqueira de Jesus, Jordan Pickford, Lucas Digne, Martin Ødegaard, Morgan Gibbs-White, William Saliba",Bruno Borges Fernandes,Martin Ødegaard,Bruno Borges Fernandes,Son Heung-min,16.0,6.553942507596151e-13,0,1,244.96462668381042,,57.0,51.0,2.0,53.0
156,"Alexander Isak, Andrew Robertson, Bruno Borges Fernandes, Bukayo Saka, Carl Rushworth, Cole Palmer, Dominic Calvert-Lewin, Joao Pedro Junqueira de Jesus, Jordan Pickford, Lucas Digne, Marc Guehi, Martin Ødegaard, Morgan Gibbs-White, Tyrick Mitchell, William Saliba","Alexander Isak, Bruno Borges Fernandes, Bukayo Saka, Cole Palmer, Dominic Calvert-Lewin, Joao Pedro Junqueira de Jesus, Jordan Pickford, Lucas Digne, Marc Guehi, Martin Ødegaard, William Saliba",Cole Palmer,Bruno Borges Fernandes,Dominic Calvert-Lewin,Michail Antonio,11.999999999999998,16.0,0,1,241.10899651343428,,42.0,34.0,3.0,37.0
157,"Alexander Isak, Andrew Robertson, Bruno Borges Fernandes, Bukayo Saka, Carl Rushworth, Cole Palmer, Dominic Calvert-Lewin, Dwight McNeil, Joao Pedro Junqueira de Jesus, Jordan Pickford, Lucas Digne, Marc Guehi, Morgan Gibbs-White, Tyrick Mitchell, William Saliba","Alexander Isak, Andrew Robertson, Bruno Borges Fernandes, Bukayo Saka, Cole Palmer, Dominic Calvert-Lewin, Dwight McNeil, Jordan Pickford, Lucas Digne, Morgan Gibbs-White, Tyrick Mitchell",Bukayo Saka,Dwight McNeil,Dwight McNeil,Martin Ødegaard,41.0,11.999999999999998,0,1,242.47522659704336,,43.0,35.0,4.0,39.0
158,"Andrew Robertson, Anthony Gordon, Bukayo Saka, Carl Rushworth, Cole Palmer, Cristian Romero, Dominic Calvert-Lewin, Dwight McNeil, James Maddison, Jordan Pickford, Kai Havertz, Lucas Digne, Marc Guehi, Ollie Watkins, William Saliba","Andrew Robertson, Bukayo Saka, Cole Palmer, Cristian Romero, Dominic Calvert-Lewin, Dwight McNeil, James Maddison, Jordan Pickford, Kai Havertz, Ollie Watkins, William Saliba",Bukayo Saka,Kai Havertz,"Anthony Gordon, Cristian Romero, James Maddison, Kai Havertz, Ollie Watkins","Alexander Isak, Bruno Borges Fernandes, Joao Pedro Junqueira de Jesus, Morgan Gibbs-White, Tyrick Mitchell",3.9999999999996767,41.0,4,1,238.73716519033283,,92.0,74.0,3.0,77.0
159,"Andrew Robertson, Anthony Gordon, Bukayo Saka, Carl Rushworth, Cristian Romero, Dominic Calvert-Lewin, Dwight McNeil, James Maddison, Jordan Pickford, Kai Havertz, Lucas Digne, Marc Guehi, Ollie Watkins, Phil Foden, William Saliba","Andrew Robertson, Anthony Gordon, Bukayo Saka, Cristian Romero, James Maddison, Jordan Pickford, Kai Havertz, Lucas Digne, Ollie Watkins, Phil Foden, William Saliba",Phil Foden,Kai Havertz,Phil Foden,Cole Palmer,19.00000000000583,3.9999999999996767,0,1,241.5164001150269,,72.0,66.0,2.0,68.0
160,"Alejandro Garnacho, Anthony Gordon, Carl Rushworth, Cristian Romero, Dominic Calvert-Lewin, Dwight McNeil, Emiliano Martinez Romero, Josko Gvardiol, Kai Havertz, Lucas Digne, Marc Guehi, Mohamed Salah, Ollie Watkins, Phil Foden, Virgil van Dijk","Alejandro Garnacho, Anthony Gordon, Cristian Romero, Dominic Calvert-Lewin, Emiliano Martinez Romero, Josko Gvardiol, Kai Havertz, Mohamed Salah, Ollie Watkins, Phil Foden, Virgil van Dijk",Mohamed Salah,Anthony Gordon,"Alejandro Garnacho, Emiliano Martinez Romero, Josko Gvardiol, Mohamed Salah, Virgil van Dijk","Andrew Robertson, Bukayo Saka, James Maddison, Jordan Pickford, William Saliba",5.000000000005875,19.00000000000583,4,1,235.84538593947266,,74.0,62.0,12.0,74.0
161,"Alejandro Garnacho, Anthony Gordon, Carl Rushworth, Cristian Romero, Dominic Calvert-Lewin, Dwight McNeil, Emiliano Martinez Romero, Josko Gvardiol, Kai Havertz, Marc Guehi, Mohamed Salah, Ollie Watkins, Phil Foden, Virgil van Dijk, Vitalii Mykolenko","Alejandro Garnacho, Cristian Romero, Dominic Calvert-Lewin, Dwight McNeil, Emiliano Martinez Romero, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Phil Foden, Virgil van Dijk, Vitalii Mykolenko",Phil Foden,Mohamed Salah,Vitalii Mykolenko,Lucas Digne,7.999999999999988,5.000000000005875,0,1,250.85696175492615,,51.0,43.0,3.0,46.0
162,"Alejandro Garnacho, Anthony Gordon, Carl Rushworth, Cristian Romero, Dominic Calvert-Lewin, Dwight McNeil, Emiliano Martinez Romero, Kai Havertz, Marc Guehi, Mohamed Salah, Ollie Watkins, Phil Foden, Trent Alexander-Arnold, Virgil van Dijk, Vitalii Mykolenko","Alejandro Garnacho, Cristian Romero, Dominic Calvert-Lewin, Dwight McNeil, Emiliano Martinez Romero, Mohamed Salah, Ollie Watkins, Phil Foden, Trent Alexander-Arnold, Virgil van Dijk, Vitalii Mykolenko",Mohamed Salah,Dwight McNeil,Trent Alexander-Arnold,Josko Gvardiol,0.0,7.999999999999988,0,1,240.37949761901572,,43.0,29.0,9.0,38.0
163,"Alejandro Garnacho, Anthony Gordon, Carl Rushworth, Cristian Romero, Danny Welbeck, Dominic Calvert-Lewin, Dwight McNeil, Emiliano Martinez Romero, Marc Guehi, Mohamed Salah, Ollie Watkins, Phil Foden, Trent Alexander-Arnold, Virgil van Dijk, Vitalii Mykolenko","Alejandro Garnacho, Anthony Gordon, Danny Welbeck, Dominic Calvert-Lewin, Dwight McNeil, Emiliano Martinez Romero, Mohamed Salah, Ollie Watkins, Trent Alexander-Arnold, Virgil van Dijk, Vitalii Mykolenko",Mohamed Salah,Dwight McNeil,Danny Welbeck,Kai Havertz,21.0,0.0,0,1,222.82468925222994,,47.0,43.0,14.0,57.0
164,"Alejandro Garnacho, Bukayo Saka, Carl Rushworth, Danny Welbeck, Destiny Udogie, Dwight McNeil, Emiliano Martinez Romero, Lucas Digne, Marc Guehi, Matheus Santos Carneiro Da Cunha, Mohamed Salah, Ollie Watkins, Phil Foden, Rayan Ait-Nouri, William Saliba","Alejandro Garnacho, Bukayo Saka, Danny Welbeck, Emiliano Martinez Romero, Lucas Digne, Matheus Santos Carneiro Da Cunha, Mohamed Salah, Ollie Watkins, Phil Foden, Rayan Ait-Nouri, William Saliba",Danny Welbeck,Bukayo Saka,"Bukayo Saka, Destiny Udogie, Lucas Digne, Matheus Santos Carneiro Da Cunha, Rayan Ait-Nouri, William Saliba","Anthony Gordon, Cristian Romero, Dominic Calvert-Lewin, Trent Alexander-Arnold, Virgil van Dijk, Vitalii Mykolenko",2.0,21.0,5,1,224.84592502792157,,77.0,67.0,2.0,69.0
165,"Alejandro Garnacho, Bryan Mbeumo, Bukayo Saka, Carl Rushworth, Danny Welbeck, Destiny Udogie, Dwight McNeil, Emiliano Martinez Romero, Lucas Digne, Marc Guehi, Matheus Santos Carneiro Da Cunha, Mohamed Salah, Ollie Watkins, Rayan Ait-Nouri, William Saliba","Alejandro Garnacho, Bryan Mbeumo, Bukayo Saka, Danny Welbeck, Destiny Udogie, Emiliano Martinez Romero, Matheus Santos Carneiro Da Cunha, Mohamed Salah, Ollie Watkins, Rayan Ait-Nouri, William Saliba",Mohamed Salah,Bukayo Saka,Bryan Mbeumo,Phil Foden,14.0,2.0,0,1,256.75571546417336,,50.0,44.0,13.0,57.0
166,"Alejandro Garnacho, Bart Verbruggen, Bryan Mbeumo, Bukayo Saka, Carl Rushworth, Destiny Udogie, James Maddison, Jørgen Strand Larsen, Lucas Digne, Marc Guehi, Matheus Santos Carneiro Da Cunha, Mohamed Salah, Ollie Watkins, Pervis Estupinan, William Saliba","Bart Verbruggen, Destiny Udogie, James Maddison, Jørgen Strand Larsen, Lucas Digne, Marc Guehi, Matheus Santos Carneiro Da Cunha, Mohamed Salah, Ollie Watkins, Pervis Estupinan, William Saliba",Matheus Santos Carneiro Da Cunha,Mohamed Salah,"Bart Verbruggen, James Maddison, Jørgen Strand Larsen, Pervis Estupinan","Danny Welbeck, Dwight McNeil, Emiliano Martinez Romero, Rayan Ait-Nouri",-1.887379141862766e-14,14.0,3,1,253.43851797381586,,69.0,63.0,2.0,65.0
167,"Bart Verbruggen, Bryan Mbeumo, Bukayo Saka, Carl Rushworth, Destiny Udogie, James Maddison, Justin Kluivert, Jørgen Strand Larsen, Lucas Digne, Marc Guehi, Matheus Santos Carneiro Da Cunha, Mohamed Salah, Ollie Watkins, Pervis Estupinan, William Saliba","Bart Verbruggen, Bryan Mbeumo, Bukayo Saka, James Maddison, Justin Kluivert, Jørgen Strand Larsen, Lucas Digne, Matheus Santos Carneiro Da Cunha, Ollie Watkins, Pervis Estupinan, William Saliba",Matheus Santos Carneiro Da Cunha,Bukayo Saka,Justin Kluivert,Alejandro Garnacho,7.999999999982295,-1.887379141862766e-14,0,1,257.72574660505853,,42.0,41.0,1.0,42.0
168,"Bart Verbruggen, Bryan Mbeumo, Bukayo Saka, Carl Rushworth, Destiny Udogie, James Maddison, Justin Kluivert, Jørgen Strand Larsen, Lucas Digne, Marc Guehi, Matheus Santos Carneiro Da Cunha, Mohamed Salah, Nicolas Jackson, Pervis Estupinan, William Saliba","Bart Verbruggen, Bukayo Saka, James Maddison, Justin Kluivert, Jørgen Strand Larsen, Marc Guehi, Matheus Santos Carneiro Da Cunha, Mohamed Salah, Nicolas Jackson, Pervis Estupinan, William Saliba",Matheus Santos Carneiro Da Cunha,Bukayo Saka,Nicolas Jackson,Ollie Watkins,16.000000000001428,7.999999999982295,0,1,248.2168772863738,,65.0,53.0,9.0,62.0
169,"Amad Diallo, Bart Verbruggen, Bryan Mbeumo, Bukayo Saka, Carl Rushworth, Josko Gvardiol, Justin Kluivert, Jørgen Strand Larsen, Lucas Digne, Matheus Santos Carneiro Da Cunha, Mohamed Salah, Nicolas Jackson, Pervis Estupinan, Trent Alexander-Arnold, William Saliba","Amad Diallo, Bart Verbruggen, Bryan Mbeumo, Bukayo Saka, Josko Gvardiol, Justin Kluivert, Matheus Santos Carneiro Da Cunha, Mohamed Salah, Nicolas Jackson, Pervis Estupinan, William Saliba",Amad Diallo,Mohamed Salah,"Amad Diallo, Josko Gvardiol, Trent Alexander-Arnold","Destiny Udogie, James Maddison, Marc Guehi",2.000000000000032,16.000000000001428,2,1,243.48013336924348,,59.0,51.0,2.0,53.0
170,"Amad Diallo, Bart Verbruggen, Bryan Mbeumo, Carl Rushworth, Josko Gvardiol, Justin Kluivert, Jørgen Strand Larsen, Lucas Digne, Matheus Santos Carneiro Da Cunha, Mohamed Salah, Nicolas Jackson, Pervis Estupinan, Phil Foden, Trent Alexander-Arnold, William Saliba","Amad Diallo, Bart Verbruggen, Josko Gvardiol, Justin Kluivert, Jørgen Strand Larsen, Matheus Santos Carneiro Da Cunha, Mohamed Salah, Nicolas Jackson, Phil Foden, Trent Alexander-Arnold, William Saliba",Trent Alexander-Arnold,Amad Diallo,Phil Foden,Bukayo Saka,14.999999999999853,2.000000000000032,0,1,253.20832955993785,,61.0,51.0,2.0,53.0
171,"Amad Diallo, Bart Verbruggen, Bryan Mbeumo, Carl Rushworth, Eberechi Eze, Josko Gvardiol, Jørgen Strand Larsen, Lucas Digne, Matheus Santos Carneiro Da Cunha, Mohamed Salah, Nicolas Jackson, Pervis Estupinan, Phil Foden, Trent Alexander-Arnold, William Saliba","Amad Diallo, Bart Verbruggen, Bryan Mbeumo, Eberechi Eze, Josko Gvardiol, Jørgen Strand Larsen, Lucas Digne, Mohamed Salah, Phil Foden, Trent Alexander-Arnold, William Saliba",Mohamed Salah,Eberechi Eze,Eberechi Eze,Justin Kluivert,4.000000000000699,14.999999999999853,0,1,253.82206101437882,,75.0,73.0,16.0,89.0
172,"Amad Diallo, Bart Verbruggen, Bryan Mbeumo, Carl Rushworth, Daniel Munoz, Eberechi Eze, Josko Gvardiol, Jørgen Strand Larsen, Lucas Digne, Matheus Santos Carneiro Da Cunha, Mohamed Salah, Nicolas Jackson, Phil Foden, Trent Alexander-Arnold, William Saliba","Bart Verbruggen, Bryan Mbeumo, Daniel Munoz, Eberechi Eze, Josko Gvardiol, Lucas Digne, Mohamed Salah, Nicolas Jackson, Phil Foden, Trent Alexander-Arnold, William Saliba",Mohamed Salah,Phil Foden,Daniel Munoz,Pervis Estupinan,8.000000000000167,4.000000000000699,0,1,246.9931852995367,,62.0,51.0,7.0,58.0
