gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,budget_start,alpha,q_start,objective_value,chip_played,actual_squad_points,actual_lineup_points,actual_captain_points,actual_total_points
153,"Andrew Robertson, Daniel Jebbison, Daniel Munoz, Danny Welbeck, David Raya Martin, Dejan Kulusevski, Josko Gvardiol, Kevin De Bruyne, Martin Ødegaard, Matt Turner, Mohamed Salah, Son Heung-min, Virgil van Dijk, Wout Faes, Yoane Wissa","Andrew Robertson, Daniel Munoz, Danny Welbeck, David Raya Martin, Dejan Kulusevski, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Virgil van Dijk, Yoane Wissa",Mohamed Salah,Son Heung-min,,,5.0,1000.0,0,1,94.82993242023957,,79.0,70.0,14.0,84.0
154,"Andrew Robertson, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Kevin De Bruyne, Martin Ødegaard, Matt Turner, Mohamed Salah, Son Heung-min, Virgil van Dijk, Wout Faes, Yoane Wissa","Andrew Robertson, Daniel Munoz, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Yoane Wissa",Mohamed Salah,Kevin De Bruyne,"Eberechi Eze, Ederson Santana de Moraes","David Raya Martin, Dejan Kulusevski",0.0,5.0,0,2,94.57400137510871,,79.0,64.0,10.0,74.0
155,"Andrew Robertson, Antonee Robinson, Daniel Jebbison, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Kevin De Bruyne, Martin Ødegaard, Matt Turner, Mohamed Salah, Son Heung-min, Virgil van Dijk, Wout Faes, Yoane Wissa","Andrew Robertson, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Virgil van Dijk, Yoane Wissa",Mohamed Salah,Kevin De Bruyne,Antonee Robinson,Daniel Munoz,4.0,0.0,0,1,93.8012403235749,,63.0,58.0,17.0,75.0
156,"Andrew Robertson, Antonee Robinson, Bryan Mbeumo, Daniel Jebbison, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Kevin De Bruyne, Matt Turner, Mohamed Salah, Son Heung-min, Virgil van Dijk, Wout Faes, Yoane Wissa","Antonee Robinson, Bryan Mbeumo, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Kevin De Bruyne, Mohamed Salah, Son Heung-min, Wout Faes, Yoane Wissa",Mohamed Salah,Kevin De Bruyne,Bryan Mbeumo,Martin Ødegaard,16.0,4.0,0,1,93.39169506257838,,33.0,30.0,2.0,32.0
157,"Andrew Robertson, Antonee Robinson, Bryan Mbeumo, Bukayo Saka, Daniel Jebbison, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Matt Turner, Mohamed Salah, Son Heung-min, Virgil van Dijk, Wout Faes, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Mohamed Salah, Son Heung-min, Virgil van Dijk, Wout Faes, Yoane Wissa",Mohamed Salah,Bukayo Saka,Bukayo Saka,Kevin De Bruyne,12.0,16.0,0,1,94.06472705171214,,54.0,51.0,6.0,57.0
158,"Andrew Robertson, Antonee Robinson, Bryan Mbeumo, Bukayo Saka, Chris Wood, Daniel Jebbison, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Matt Turner, Mohamed Salah, Son Heung-min, Virgil van Dijk, Wout Faes","Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Chris Wood, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Mohamed Salah, Son Heung-min, Virgil van Dijk",Mohamed Salah,Son Heung-min,Chris Wood,Yoane Wissa,10.0,12.0,0,1,93.00003862105854,,50.0,43.0,10.0,53.0
159,"Andrew Robertson, Antonee Robinson, Bryan Mbeumo, Bukayo Saka, Chris Wood, Cole Palmer, Daniel Jebbison, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Matt Turner, Mohamed Salah, Virgil van Dijk, Wout Faes","Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Chris Wood, Cole Palmer, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Mohamed Salah, Virgil van Dijk",Mohamed Salah,Bukayo Saka,Cole Palmer,Son Heung-min,2.0,10.0,0,1,92.60712648362544,,68.0,61.0,3.0,64.0
160,"Antonee Robinson, Bryan Mbeumo, Bukayo Saka, Chris Wood, Cole Palmer, Daniel Jebbison, Danny Welbeck, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Matt Turner, Mohamed Salah, Virgil van Dijk, Wout Faes","Bryan Mbeumo, Bukayo Saka, Chris Wood, Cole Palmer, Danny Welbeck, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Mohamed Salah, Virgil van Dijk",Bukayo Saka,Cole Palmer,Diogo Dalot Teixeira,Andrew Robertson,11.0,2.0,0,1,92.18883952009445,,51.0,49.0,0.0,49.0
161,"Antonee Robinson, Bryan Mbeumo, Chris Wood, Cole Palmer, Daniel Jebbison, Danny Welbeck, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Jarrod Bowen, Josko Gvardiol, Matt Turner, Mohamed Salah, Virgil van Dijk, Wout Faes","Antonee Robinson, Bryan Mbeumo, Chris Wood, Cole Palmer, Danny Welbeck, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Jarrod Bowen, Josko Gvardiol, Mohamed Salah",Mohamed Salah,Cole Palmer,Jarrod Bowen,Bukayo Saka,37.0,11.0,0,1,92.76797366035794,,94.0,86.0,10.0,96.0
162,"Antonee Robinson, Bryan Mbeumo, Chris Wood, Cole Palmer, Daniel Jebbison, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Jarrod Bowen, Josko Gvardiol, Matt Turner, Mohamed Salah, Trent Alexander-Arnold, Virgil van Dijk, Wout Faes","Bryan Mbeumo, Chris Wood, Cole Palmer, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Jarrod Bowen, Josko Gvardiol, Mohamed Salah, Trent Alexander-Arnold, Virgil van Dijk",Mohamed Salah,Cole Palmer,Trent Alexander-Arnold,Diogo Dalot Teixeira,18.0,37.0,0,1,94.53066780986062,,53.0,45.0,9.0,54.0
