gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,budget_start,alpha,q_start,objective_value,chip_played,actual_squad_points,actual_lineup_points,actual_captain_points,actual_total_points
153,"Andrew Robertson, Antonee Robinson, Daniel Jebbison, Daniel Munoz, Danny Welbeck, David Raya Martin, Eberechi Eze, Ederson Santana de Moraes, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Pedro Porro, Son Heung-min, Wout Faes, Yoane Wissa","Andrew Robertson, Daniel Munoz, Danny Welbeck, David Raya Martin, Eberechi Eze, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Pedro Porro, Son Heung-min, Yoane Wissa",Mohamed Salah,Son Heung-min,,,4.999999999999998,1000.0,0,1,157.6629344010488,,86.0,74.0,14.0,88.0
154,"Andrew Robertson, Antonee Robinson, Bukayo Saka, Daniel Iversen, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Kevin De Bruyne, Mohamed Salah, Pedro Porro, Son Heung-min, Wout Faes, Yoane Wissa","Andrew Robertson, Bukayo Saka, Daniel Munoz, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Kevin De Bruyne, Mohamed Salah, Pedro Porro, Son Heung-min, Yoane Wissa",Mohamed Salah,Kevin De Bruyne,"Bukayo Saka, Daniel Iversen","David Raya Martin, Martin Ødegaard",5.00000000000008,4.999999999999998,0,2,158.32105508842275,,87.0,72.0,10.0,82.0
155,"Andrew Robertson, Antonee Robinson, Bukayo Saka, Daniel Iversen, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Kevin De Bruyne, Mohamed Salah, Son Heung-min, Wout Faes, Yoane Wissa","Andrew Robertson, Antonee Robinson, Bukayo Saka, Danny Welbeck, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Kevin De Bruyne, Mohamed Salah, Son Heung-min, Yoane Wissa",Mohamed Salah,Bukayo Saka,Josko Gvardiol,Pedro Porro,0.0,5.00000000000008,0,1,157.82761336983154,,63.0,61.0,17.0,78.0
156,"Andrew Robertson, Antonee Robinson, Bukayo Saka, Daniel Iversen, Daniel Jebbison, Danny Welbeck, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Kevin De Bruyne, Mohamed Salah, Son Heung-min, Wout Faes, Yoane Wissa","Antonee Robinson, Bukayo Saka, Danny Welbeck, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Kevin De Bruyne, Mohamed Salah, Son Heung-min, Yoane Wissa",Mohamed Salah,Bukayo Saka,Diogo Dalot Teixeira,Daniel Munoz,0.0,0.0,0,1,157.10953163518565,,47.0,45.0,2.0,47.0
157,"Andrew Robertson, Antonee Robinson, Bryan Mbeumo, Bukayo Saka, Daniel Iversen, Daniel Jebbison, Danny Welbeck, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Mohamed Salah, Son Heung-min, Wout Faes, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Danny Welbeck, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Mohamed Salah, Son Heung-min, Wout Faes, Yoane Wissa",Mohamed Salah,Bukayo Saka,Bryan Mbeumo,Kevin De Bruyne,25.0,0.0,0,1,155.8425602149111,,57.0,54.0,6.0,60.0
158,"Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Daniel Iversen, Daniel Jebbison, Danny Welbeck, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Mohamed Salah, Son Heung-min, Trent Alexander-Arnold, Wout Faes, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Danny Welbeck, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Mohamed Salah, Son Heung-min, Trent Alexander-Arnold",Mohamed Salah,Son Heung-min,Trent Alexander-Arnold,Antonee Robinson,1.0,25.0,0,1,155.25775866085,,40.0,40.0,10.0,50.0
159,"Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Daniel Iversen, Daniel Jebbison, Danny Welbeck, Dejan Kulusevski, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Mohamed Salah, Trent Alexander-Arnold, Wout Faes, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Danny Welbeck, Dejan Kulusevski, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Mohamed Salah, Trent Alexander-Arnold",Mohamed Salah,Bukayo Saka,Dejan Kulusevski,Son Heung-min,37.999999999999886,1.0,0,1,154.4746336325254,,60.0,54.0,3.0,57.0
160,"Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Daniel Iversen, Daniel Jebbison, Danny Welbeck, Dejan Kulusevski, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Trent Alexander-Arnold, Wout Faes","Bryan Mbeumo, Bukayo Saka, Danny Welbeck, Dejan Kulusevski, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Trent Alexander-Arnold",Bukayo Saka,Mohamed Salah,Ollie Watkins,Yoane Wissa,6.0,37.999999999999886,0,1,155.2491036321701,,60.0,57.0,0.0,57.0
161,"Andrew Robertson, Bryan Mbeumo, Daniel Iversen, Daniel Jebbison, Danny Welbeck, Dejan Kulusevski, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Jarrod Bowen, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Trent Alexander-Arnold, Wout Faes","Bryan Mbeumo, Danny Welbeck, Dejan Kulusevski, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Jarrod Bowen, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Trent Alexander-Arnold",Mohamed Salah,Bryan Mbeumo,Jarrod Bowen,Bukayo Saka,32.0,6.0,0,1,154.98860540084462,,67.0,65.0,10.0,75.0
162,"Andrew Robertson, Bruno Borges Fernandes, Bryan Mbeumo, Daniel Iversen, Daniel Jebbison, Danny Welbeck, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Jarrod Bowen, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Trent Alexander-Arnold, Wout Faes","Bruno Borges Fernandes, Bryan Mbeumo, Danny Welbeck, Diogo Dalot Teixeira, Eberechi Eze, Ederson Santana de Moraes, Jarrod Bowen, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Trent Alexander-Arnold",Mohamed Salah,Bryan Mbeumo,Bruno Borges Fernandes,Dejan Kulusevski,12.9999999999967,32.0,0,1,154.0668304736329,,45.0,43.0,9.0,52.0
