gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,budget_start,alpha,q_start,objective_value,chip_played,actual_squad_points,actual_lineup_points,actual_captain_points,actual_total_points
153,"Andrew Robertson, Daniel Jebbison, Daniel Munoz, Danny Welbeck, David Raya Martin, Dermot Mee, James Maddison, Kevin De Bruyne, Manuel Akanji, Martin Ødegaard, Mohamed Salah, Son Heung-min, Virgil van Dijk, Wout Faes, Yoane Wissa","Andrew Robertson, Daniel Munoz, Danny Welbeck, David Raya Martin, James Maddison, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Virgil van Dijk, Yoane Wissa",Mohamed Salah,Son Heung-min,,,0.0,1000.0,0,1,96.70933951509211,,82.0,74.0,14.0,88.0
154,"Andrew Robertson, Daniel Jebbison, Daniel Munoz, Danny Welbeck, David Raya Martin, Dermot Mee, Eberechi Eze, Josko Gvardiol, Kevin De Bruyne, Manuel Akanji, Martin Ødegaard, Mohamed Salah, Son Heung-min, Wout Faes, Yoane Wissa","Daniel Munoz, Danny Welbeck, David Raya Martin, Eberechi Eze, Josko Gvardiol, Kevin De Bruyne, Manuel Akanji, Martin Ødegaard, Mohamed Salah, Son Heung-min, Yoane Wissa",Mohamed Salah,Kevin De Bruyne,"Eberechi Eze, Josko Gvardiol","James Maddison, Virgil van Dijk",5.0,0.0,0,2,96.00132125663183,,82.0,68.0,10.0,78.0
155,"Andrew Robertson, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Dermot Mee, Eberechi Eze, Josko Gvardiol, Kevin De Bruyne, Manuel Akanji, Martin Ødegaard, Mohamed Salah, Nick Pope, Son Heung-min, Wout Faes, Yoane Wissa","Andrew Robertson, Danny Welbeck, Eberechi Eze, Josko Gvardiol, Kevin De Bruyne, Manuel Akanji, Martin Ødegaard, Mohamed Salah, Nick Pope, Son Heung-min, Yoane Wissa",Mohamed Salah,Kevin De Bruyne,Nick Pope,David Raya Martin,9.999999999994916,5.0,0,1,94.74128391255039,,58.0,56.0,17.0,73.0
156,"Andrew Robertson, Bryan Mbeumo, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Dermot Mee, Eberechi Eze, Josko Gvardiol, Kevin De Bruyne, Manuel Akanji, Mohamed Salah, Nick Pope, Son Heung-min, Wout Faes, Yoane Wissa","Bryan Mbeumo, Daniel Munoz, Danny Welbeck, Eberechi Eze, Josko Gvardiol, Kevin De Bruyne, Manuel Akanji, Mohamed Salah, Nick Pope, Son Heung-min, Yoane Wissa",Mohamed Salah,Kevin De Bruyne,Bryan Mbeumo,Martin Ødegaard,21.99999999999997,9.999999999994916,0,1,93.61208562952021,,28.0,26.0,2.0,28.0
157,"Andrew Robertson, Bryan Mbeumo, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Dermot Mee, Eberechi Eze, Kevin De Bruyne, Manuel Akanji, Mohamed Salah, Nick Pope, Son Heung-min, Trent Alexander-Arnold, Wout Faes, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Daniel Munoz, Danny Welbeck, Eberechi Eze, Kevin De Bruyne, Mohamed Salah, Nick Pope, Son Heung-min, Trent Alexander-Arnold, Yoane Wissa",Mohamed Salah,Son Heung-min,Trent Alexander-Arnold,Josko Gvardiol,11.0,21.99999999999997,0,1,93.86117870470204,,62.0,59.0,6.0,65.0
158,"Andrew Robertson, Bryan Mbeumo, Cole Palmer, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Dermot Mee, Eberechi Eze, Manuel Akanji, Mohamed Salah, Nick Pope, Son Heung-min, Trent Alexander-Arnold, Wout Faes, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Cole Palmer, Daniel Munoz, Danny Welbeck, Eberechi Eze, Manuel Akanji, Mohamed Salah, Nick Pope, Son Heung-min, Trent Alexander-Arnold",Mohamed Salah,Bryan Mbeumo,Cole Palmer,Kevin De Bruyne,0.0,11.0,0,1,92.281022497929,,57.0,57.0,10.0,67.0
159,"Andrew Robertson, Bryan Mbeumo, Cole Palmer, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Dermot Mee, Eberechi Eze, Jarrod Bowen, Manuel Akanji, Mohamed Salah, Nick Pope, Trent Alexander-Arnold, Wout Faes, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Cole Palmer, Danny Welbeck, Eberechi Eze, Jarrod Bowen, Manuel Akanji, Mohamed Salah, Nick Pope, Trent Alexander-Arnold, Wout Faes",Mohamed Salah,Cole Palmer,Jarrod Bowen,Son Heung-min,25.0,0.0,0,1,90.36743204945164,,63.0,62.0,3.0,65.0
160,"Andrew Robertson, Bryan Mbeumo, Chris Wood, Cole Palmer, Daniel Munoz, Danny Welbeck, Dermot Mee, Eberechi Eze, Jarrod Bowen, Manuel Akanji, Mohamed Salah, Nick Pope, Trent Alexander-Arnold, Wout Faes, Yoane Wissa","Bryan Mbeumo, Chris Wood, Cole Palmer, Danny Welbeck, Eberechi Eze, Jarrod Bowen, Manuel Akanji, Mohamed Salah, Nick Pope, Trent Alexander-Arnold, Wout Faes",Cole Palmer,Mohamed Salah,Chris Wood,Daniel Jebbison,7.000000000000409,25.0,0,1,90.77430925124932,,46.0,42.0,2.0,44.0
161,"Andrew Robertson, Bryan Mbeumo, Chris Wood, Cole Palmer, Daniel Munoz, Danny Welbeck, Dermot Mee, Eberechi Eze, Jarrod Bowen, Josko Gvardiol, Mohamed Salah, Nick Pope, Trent Alexander-Arnold, Wout Faes, Yoane Wissa","Bryan Mbeumo, Chris Wood, Cole Palmer, Daniel Munoz, Danny Welbeck, Eberechi Eze, Jarrod Bowen, Josko Gvardiol, Mohamed Salah, Nick Pope, Trent Alexander-Arnold",Mohamed Salah,Cole Palmer,Josko Gvardiol,Manuel Akanji,1.0,7.000000000000409,0,1,92.81480537079106,,97.0,85.0,10.0,95.0
162,"Ashley Young, Bryan Mbeumo, Chris Wood, Cole Palmer, Daniel Munoz, Danny Welbeck, Dermot Mee, Eberechi Eze, Jarrod Bowen, Josko Gvardiol, Mohamed Salah, Nick Pope, Trent Alexander-Arnold, Wout Faes, Yoane Wissa","Ashley Young, Bryan Mbeumo, Chris Wood, Cole Palmer, Danny Welbeck, Eberechi Eze, Jarrod Bowen, Josko Gvardiol, Mohamed Salah, Nick Pope, Trent Alexander-Arnold",Mohamed Salah,Cole Palmer,Ashley Young,Andrew Robertson,15.999999999962636,1.0,0,1,93.50448716429185,,52.0,45.0,9.0,54.0
163,"Ashley Young, Brennan Johnson, Bryan Mbeumo, Chris Wood, Cole Palmer, Daniel Munoz, Danny Welbeck, Dermot Mee, Jarrod Bowen, Josko Gvardiol, Mohamed Salah, Nick Pope, Trent Alexander-Arnold, Wout Faes, Yoane Wissa","Ashley Young, Brennan Johnson, Bryan Mbeumo, Chris Wood, Cole Palmer, Danny Welbeck, Jarrod Bowen, Josko Gvardiol, Mohamed Salah, Nick Pope, Trent Alexander-Arnold",Mohamed Salah,Cole Palmer,Brennan Johnson,Eberechi Eze,15.0,15.999999999962636,0,1,92.74472902897337,,54.0,39.0,14.0,53.0
