gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,budget_start,alpha,q_start,objective_value,chip_played,actual_squad_points,actual_lineup_points,actual_captain_points,actual_total_points
153,"Andrew Robertson, Daniel Iversen, Daniel Jebbison, Eberechi Eze, James Maddison, Jan Bednarek, Jean-Philippe Mateta, Jordan Pickford, Kevin De Bruyne, Mohamed Salah, Pedro Porro, Son Heung-min, Trent Alexander-Arnold, Wout Faes, Yoane Wissa","Andrew Robertson, Eberechi Eze, James Maddison, Jean-Philippe Mateta, Jordan Pickford, Kevin De Bruyne, Mohamed Salah, Pedro Porro, Son Heung-min, Trent Alexander-Arnold, Yoane Wissa",Mohamed Salah,Son Heung-min,,,2.8796158288357965e-13,1000.0,0,1,127.70266811802163,,66.0,62.0,14.0,76.0
154,"Andrew Robertson, Bernardo Veiga de Carvalho e Silva, Cole Palmer, Daniel Iversen, Daniel Jebbison, Eberechi Eze, Jan Bednarek, Jean-Philippe Mateta, Jordan Pickford, Kevin De Bruyne, Mohamed Salah, Pedro Porro, Trent Alexander-Arnold, Wout Faes, Yoane Wissa","Andrew Robertson, Bernardo Veiga de Carvalho e Silva, Cole Palmer, Eberechi Eze, Jean-Philippe Mateta, Jordan Pickford, Kevin De Bruyne, Mohamed Salah, Pedro Porro, Trent Alexander-Arnold, Yoane Wissa",Mohamed Salah,Kevin De Bruyne,"Bernardo Veiga de Carvalho e Silva, Cole Palmer","James Maddison, Son Heung-min",4.0,2.8796158288357965e-13,0,2,123.23082180906694,,75.0,66.0,10.0,76.0
155,"Andrew Robertson, Bernardo Veiga de Carvalho e Silva, Cole Palmer, Daniel Iversen, Daniel Jebbison, Eberechi Eze, Jan Bednarek, Jean-Philippe Mateta, Jordan Pickford, Kevin De Bruyne, Manuel Akanji, Mohamed Salah, Trent Alexander-Arnold, Wout Faes, Yoane Wissa","Andrew Robertson, Bernardo Veiga de Carvalho e Silva, Cole Palmer, Eberechi Eze, Jean-Philippe Mateta, Jordan Pickford, Kevin De Bruyne, Manuel Akanji, Mohamed Salah, Trent Alexander-Arnold, Yoane Wissa",Mohamed Salah,Cole Palmer,Manuel Akanji,Pedro Porro,4.0,4.0,0,1,123.34806369496145,,68.0,66.0,17.0,83.0
156,"Andrew Robertson, Bernardo Veiga de Carvalho e Silva, Cole Palmer, Daniel Iversen, Daniel Jebbison, Eberechi Eze, Jan Bednarek, Jean-Philippe Mateta, Jordan Pickford, Kevin De Bruyne, Mohamed Salah, Pedro Porro, Trent Alexander-Arnold, Wout Faes, Yoane Wissa","Andrew Robertson, Bernardo Veiga de Carvalho e Silva, Cole Palmer, Eberechi Eze, Jan Bednarek, Jean-Philippe Mateta, Jordan Pickford, Kevin De Bruyne, Mohamed Salah, Trent Alexander-Arnold, Yoane Wissa",Mohamed Salah,Cole Palmer,Pedro Porro,Manuel Akanji,4.0,4.0,0,1,123.85588061374027,,38.0,35.0,2.0,37.0
157,"Andrew Robertson, Bernardo Veiga de Carvalho e Silva, Bryan Mbeumo, Cole Palmer, Daniel Iversen, Daniel Jebbison, Eberechi Eze, Jan Bednarek, Jean-Philippe Mateta, Jordan Pickford, Mohamed Salah, Pedro Porro, Trent Alexander-Arnold, Wout Faes, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Cole Palmer, Eberechi Eze, Jean-Philippe Mateta, Jordan Pickford, Mohamed Salah, Pedro Porro, Trent Alexander-Arnold, Wout Faes, Yoane Wissa",Mohamed Salah,Cole Palmer,Bryan Mbeumo,Kevin De Bruyne,29.000000000000114,4.0,0,1,126.88358817141253,,52.0,49.0,6.0,55.0
158,"Andrew Robertson, Bernardo Veiga de Carvalho e Silva, Bryan Mbeumo, Cole Palmer, Daniel Iversen, Daniel Jebbison, Danny Welbeck, Eberechi Eze, Jan Bednarek, Jean-Philippe Mateta, Jordan Pickford, Mohamed Salah, Pedro Porro, Trent Alexander-Arnold, Wout Faes","Andrew Robertson, Bernardo Veiga de Carvalho e Silva, Bryan Mbeumo, Cole Palmer, Danny Welbeck, Eberechi Eze, Jean-Philippe Mateta, Jordan Pickford, Mohamed Salah, Pedro Porro, Trent Alexander-Arnold",Mohamed Salah,Cole Palmer,Danny Welbeck,Yoane Wissa,31.000000000000014,29.000000000000114,0,1,124.8811785486336,,63.0,62.0,10.0,72.0
159,"Bernardo Veiga de Carvalho e Silva, Bryan Mbeumo, Cole Palmer, Daniel Iversen, Daniel Jebbison, Danny Welbeck, Eberechi Eze, Jan Bednarek, Jean-Philippe Mateta, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Pedro Porro, Trent Alexander-Arnold, Wout Faes","Bernardo Veiga de Carvalho e Silva, Bryan Mbeumo, Cole Palmer, Danny Welbeck, Eberechi Eze, Jean-Philippe Mateta, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Pedro Porro, Trent Alexander-Arnold",Mohamed Salah,Cole Palmer,Josko Gvardiol,Andrew Robertson,32.0,31.000000000000014,0,1,121.8189202346335,,65.0,59.0,3.0,62.0
160,"Bernardo Veiga de Carvalho e Silva, Bryan Mbeumo, Chris Wood, Cole Palmer, Daniel Iversen, Daniel Jebbison, Danny Welbeck, Eberechi Eze, Jan Bednarek, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Pedro Porro, Trent Alexander-Arnold, Wout Faes","Bernardo Veiga de Carvalho e Silva, Bryan Mbeumo, Chris Wood, Cole Palmer, Danny Welbeck, Eberechi Eze, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Pedro Porro, Trent Alexander-Arnold",Mohamed Salah,Cole Palmer,Chris Wood,Jean-Philippe Mateta,43.0,32.0,0,1,120.16526159831645,,58.0,56.0,12.0,68.0
161,"Bernardo Veiga de Carvalho e Silva, Bryan Mbeumo, Chris Wood, Cole Palmer, Daniel Iversen, Daniel Jebbison, Eberechi Eze, Jan Bednarek, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Pedro Porro, Trent Alexander-Arnold, Wout Faes","Bernardo Veiga de Carvalho e Silva, Bryan Mbeumo, Chris Wood, Cole Palmer, Eberechi Eze, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Pedro Porro, Trent Alexander-Arnold",Mohamed Salah,Cole Palmer,Ollie Watkins,Danny Welbeck,11.0,43.0,0,1,118.35036478762667,,76.0,73.0,10.0,83.0
162,"Bernardo Veiga de Carvalho e Silva, Brennan Johnson, Bryan Mbeumo, Chris Wood, Cole Palmer, Daniel Iversen, Daniel Jebbison, Jan Bednarek, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Pedro Porro, Trent Alexander-Arnold, Wout Faes","Bernardo Veiga de Carvalho e Silva, Brennan Johnson, Bryan Mbeumo, Chris Wood, Cole Palmer, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Pedro Porro, Trent Alexander-Arnold",Mohamed Salah,Cole Palmer,Brennan Johnson,Eberechi Eze,11.000000000000052,11.0,0,1,117.95432777904307,,53.0,46.0,9.0,55.0
