gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,budget_start,alpha,q_start,objective_value,chip_played,actual_squad_points,actual_lineup_points,actual_captain_points,actual_total_points
153,"Aaron Cresswell, Andrew Robertson, Arijanet Muric, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Filip Marschall, Jean-Philippe Mateta, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Phil Foden, Son Heung-min, Tyrick Mitchell, Valentin Barco","Andrew Robertson, Arijanet Muric, Daniel Munoz, Danny Welbeck, Jean-Philippe Mateta, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Phil Foden, Son Heung-min, Tyrick Mitchell",Mohamed Salah,Son Heung-min,,,0.0,1000.0,0,1,95.49811817696848,,48.0,47.0,14.0,61.0
154,"Aaron Cresswell, Andrew Robertson, Bernardo Veiga de Carvalho e Silva, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Ederson Santana de Moraes, Filip Marschall, Jean-Philippe Mateta, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Tyrick Mitchell, Valentin Barco","Andrew Robertson, Bernardo Veiga de Carvalho e Silva, Daniel Munoz, Danny Welbeck, Ederson Santana de Moraes, Jean-Philippe Mateta, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Tyrick Mitchell",Mohamed Salah,Kevin De Bruyne,"Bernardo Veiga de Carvalho e Silva, Ederson Santana de Moraes","Arijanet Muric, Phil Foden",19.0,0.0,0,2,94.46384355263945,,65.0,63.0,10.0,73.0
155,"Aaron Cresswell, Andrew Robertson, Bernardo Veiga de Carvalho e Silva, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Filip Marschall, Jean-Philippe Mateta, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Nick Pope, Son Heung-min, Tyrick Mitchell, Valentin Barco","Andrew Robertson, Bernardo Veiga de Carvalho e Silva, Daniel Munoz, Danny Welbeck, Jean-Philippe Mateta, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Nick Pope, Son Heung-min, Tyrick Mitchell",Mohamed Salah,Kevin De Bruyne,Nick Pope,Ederson Santana de Moraes,24.0,19.0,0,1,95.82353508669202,,47.0,47.0,17.0,64.0
156,"Aaron Cresswell, Andrew Robertson, Bernardo Veiga de Carvalho e Silva, Bukayo Saka, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Filip Marschall, Jean-Philippe Mateta, Kevin De Bruyne, Mohamed Salah, Nick Pope, Son Heung-min, Tyrick Mitchell, Valentin Barco","Andrew Robertson, Bernardo Veiga de Carvalho e Silva, Bukayo Saka, Daniel Munoz, Danny Welbeck, Jean-Philippe Mateta, Kevin De Bruyne, Mohamed Salah, Nick Pope, Son Heung-min, Tyrick Mitchell",Mohamed Salah,Bukayo Saka,Bukayo Saka,Martin Ødegaard,5.999999999987528,24.0,0,1,94.13566351157418,,38.0,38.0,2.0,40.0
157,"Aaron Cresswell, Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Filip Marschall, Jean-Philippe Mateta, Kevin De Bruyne, Mohamed Salah, Nick Pope, Son Heung-min, Tyrick Mitchell, Valentin Barco","Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Daniel Munoz, Danny Welbeck, Jean-Philippe Mateta, Kevin De Bruyne, Mohamed Salah, Nick Pope, Son Heung-min, Tyrick Mitchell",Mohamed Salah,Son Heung-min,Bryan Mbeumo,Bernardo Veiga de Carvalho e Silva,1.0000000000000018,5.999999999987528,0,1,93.42047164357993,,57.0,56.0,6.0,62.0
158,"Aaron Cresswell, Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Filip Marschall, James Maddison, Jean-Philippe Mateta, Mohamed Salah, Nick Pope, Son Heung-min, Tyrick Mitchell, Valentin Barco","Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Daniel Munoz, Danny Welbeck, James Maddison, Jean-Philippe Mateta, Mohamed Salah, Nick Pope, Son Heung-min, Tyrick Mitchell",Mohamed Salah,Bryan Mbeumo,James Maddison,Kevin De Bruyne,21.0,1.0000000000000018,0,1,93.01423428995186,,36.0,36.0,10.0,46.0
159,"Aaron Cresswell, Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Cole Palmer, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Filip Marschall, James Maddison, Jean-Philippe Mateta, Mohamed Salah, Nick Pope, Tyrick Mitchell, Valentin Barco","Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Cole Palmer, Daniel Munoz, Danny Welbeck, James Maddison, Jean-Philippe Mateta, Mohamed Salah, Nick Pope, Tyrick Mitchell",Mohamed Salah,Bukayo Saka,Cole Palmer,Son Heung-min,13.0,21.0,0,1,92.33936438596571,,62.0,61.0,3.0,64.0
160,"Aaron Cresswell, Bryan Mbeumo, Bukayo Saka, Cole Palmer, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Filip Marschall, James Maddison, Jean-Philippe Mateta, Mohamed Salah, Nick Pope, Trent Alexander-Arnold, Tyrick Mitchell, Valentin Barco","Bryan Mbeumo, Bukayo Saka, Cole Palmer, Daniel Munoz, Danny Welbeck, James Maddison, Jean-Philippe Mateta, Mohamed Salah, Nick Pope, Trent Alexander-Arnold, Tyrick Mitchell",Cole Palmer,Bukayo Saka,Trent Alexander-Arnold,Andrew Robertson,2.0,13.0,0,1,88.7871579517311,,38.0,38.0,2.0,40.0
161,"Aaron Cresswell, Bryan Mbeumo, Cole Palmer, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Dejan Kulusevski, Filip Marschall, James Maddison, Jean-Philippe Mateta, Mohamed Salah, Nick Pope, Trent Alexander-Arnold, Tyrick Mitchell, Valentin Barco","Bryan Mbeumo, Cole Palmer, Daniel Munoz, Danny Welbeck, Dejan Kulusevski, James Maddison, Jean-Philippe Mateta, Mohamed Salah, Nick Pope, Trent Alexander-Arnold, Tyrick Mitchell",Mohamed Salah,Cole Palmer,Dejan Kulusevski,Bukayo Saka,40.0,2.0,0,1,90.07925609634616,,67.0,67.0,10.0,77.0
162,"Aaron Cresswell, Bryan Mbeumo, Bukayo Saka, Cole Palmer, Daniel Jebbison, Daniel Munoz, Danny Welbeck, Filip Marschall, James Maddison, Jean-Philippe Mateta, Mohamed Salah, Nick Pope, Trent Alexander-Arnold, Tyrick Mitchell, Valentin Barco","Bryan Mbeumo, Bukayo Saka, Cole Palmer, Daniel Munoz, Danny Welbeck, James Maddison, Jean-Philippe Mateta, Mohamed Salah, Nick Pope, Trent Alexander-Arnold, Tyrick Mitchell",Mohamed Salah,Cole Palmer,Bukayo Saka,Dejan Kulusevski,2.0,40.0,0,1,93.10006408723497,,41.0,41.0,9.0,50.0
