gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,budget_start,alpha,q_start,objective_value,chip_played,actual_squad_points,actual_lineup_points,actual_captain_points,actual_total_points
153,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Daniel Jebbison, Daniel Munoz, Joao Pedro Junqueira de Jesus, Jordan Pickford, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Phil Foden, Son Heung-min, Valentin Barco, Virgil van Dijk, Yoane Wissa","Andrew Robertson, Daniel Munoz, Joao Pedro Junqueira de Jesus, Jordan Pickford, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Phil Foden, Son Heung-min, Virgil van Dijk, Yoane Wissa",Mohamed Salah,Son Heung-min,,,0.0,1000.0,0,1,95.80517108455167,,54.0,53.0,14.0,67.0
154,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Daniel Jebbison, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Joao Pedro Junqueira de Jesus, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Valentin Barco, Virgil van Dijk, Yoane Wissa","Andrew Robertson, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Joao Pedro Junqueira de Jesus, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Virgil van Dijk, Yoane Wissa",Mohamed Salah,Kevin De Bruyne,"Eberechi Eze, Ederson Santana de Moraes","Jordan Pickford, Phil Foden",20.0,0.0,0,2,94.85893627295415,,70.0,68.0,10.0,78.0
155,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Daniel Jebbison, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Joao Pedro Junqueira de Jesus, Josko Gvardiol, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Virgil van Dijk, Yoane Wissa","Andrew Robertson, Eberechi Eze, Ederson Santana de Moraes, Joao Pedro Junqueira de Jesus, Josko Gvardiol, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Virgil van Dijk, Yoane Wissa",Mohamed Salah,Kevin De Bruyne,Josko Gvardiol,Valentin Barco,0.0,20.0,0,1,95.11134953904087,,65.0,64.0,17.0,81.0
156,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Daniel Jebbison, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Gabriel dos Santos Magalhaes, Joao Pedro Junqueira de Jesus, Josko Gvardiol, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Yoane Wissa","Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Gabriel dos Santos Magalhaes, Joao Pedro Junqueira de Jesus, Josko Gvardiol, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Yoane Wissa",Mohamed Salah,Kevin De Bruyne,Gabriel dos Santos Magalhaes,Virgil van Dijk,-0.0,0.0,0,1,94.64780515787963,,40.0,39.0,2.0,41.0
157,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bryan Mbeumo, Daniel Jebbison, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Gabriel dos Santos Magalhaes, Joao Pedro Junqueira de Jesus, Josko Gvardiol, Kevin De Bruyne, Mohamed Salah, Son Heung-min, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Gabriel dos Santos Magalhaes, Josko Gvardiol, Kevin De Bruyne, Mohamed Salah, Son Heung-min, Yoane Wissa",Mohamed Salah,Son Heung-min,Bryan Mbeumo,Martin Ødegaard,12.0,-0.0,0,1,94.68550598936356,,49.0,47.0,6.0,53.0
158,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bryan Mbeumo, Daniel Jebbison, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Gabriel dos Santos Magalhaes, James Maddison, Joao Pedro Junqueira de Jesus, Josko Gvardiol, Mohamed Salah, Son Heung-min, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Gabriel dos Santos Magalhaes, James Maddison, Joao Pedro Junqueira de Jesus, Josko Gvardiol, Mohamed Salah, Son Heung-min",Mohamed Salah,Son Heung-min,James Maddison,Kevin De Bruyne,32.0,12.0,0,1,94.38642256260157,,39.0,39.0,10.0,49.0
159,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bryan Mbeumo, Bukayo Saka, Daniel Jebbison, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Gabriel dos Santos Magalhaes, James Maddison, Joao Pedro Junqueira de Jesus, Josko Gvardiol, Mohamed Salah, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Gabriel dos Santos Magalhaes, James Maddison, Josko Gvardiol, Mohamed Salah, Yoane Wissa",Mohamed Salah,Bukayo Saka,Bukayo Saka,Son Heung-min,29.99999999999836,32.0,0,1,91.00436414525579,,45.0,44.0,3.0,47.0
160,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bryan Mbeumo, Bukayo Saka, Daniel Jebbison, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Gabriel dos Santos Magalhaes, James Maddison, Josko Gvardiol, Michail Antonio, Mohamed Salah, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Gabriel dos Santos Magalhaes, James Maddison, Josko Gvardiol, Michail Antonio, Mohamed Salah",Bukayo Saka,Mohamed Salah,Michail Antonio,Joao Pedro Junqueira de Jesus,31.0,29.99999999999836,0,1,89.1730139974549,,39.0,38.0,0.0,38.0
161,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bryan Mbeumo, Cole Palmer, Daniel Jebbison, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Gabriel dos Santos Magalhaes, James Maddison, Josko Gvardiol, Michail Antonio, Mohamed Salah, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Cole Palmer, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Gabriel dos Santos Magalhaes, James Maddison, Josko Gvardiol, Michail Antonio, Mohamed Salah",Mohamed Salah,Cole Palmer,Cole Palmer,Bukayo Saka,21.999999999999403,31.0,0,1,88.2053328880713,,77.0,67.0,10.0,77.0
162,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bryan Mbeumo, Cole Palmer, Daniel Jebbison, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, James Maddison, Josko Gvardiol, Michail Antonio, Mohamed Salah, Trent Alexander-Arnold, Yoane Wissa","Bryan Mbeumo, Cole Palmer, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, James Maddison, Josko Gvardiol, Michail Antonio, Mohamed Salah, Trent Alexander-Arnold, Yoane Wissa",Mohamed Salah,Cole Palmer,Trent Alexander-Arnold,Gabriel dos Santos Magalhaes,14.000000000000156,21.999999999999403,0,1,91.43755816619633,,38.0,38.0,9.0,47.0
163,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bryan Mbeumo, Cole Palmer, Daniel Jebbison, Daniel Munoz, Dejan Kulusevski, Ederson Santana de Moraes, James Maddison, Josko Gvardiol, Michail Antonio, Mohamed Salah, Trent Alexander-Arnold, Yoane Wissa","Bryan Mbeumo, Cole Palmer, Daniel Munoz, Dejan Kulusevski, Ederson Santana de Moraes, James Maddison, Josko Gvardiol, Michail Antonio, Mohamed Salah, Trent Alexander-Arnold, Yoane Wissa",Mohamed Salah,Cole Palmer,Dejan Kulusevski,Eberechi Eze,17.0,14.000000000000156,0,1,88.83097703688205,,51.0,43.0,14.0,57.0
164,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bruno Borges Fernandes, Bryan Mbeumo, Cole Palmer, Daniel Jebbison, Daniel Munoz, Dejan Kulusevski, Ederson Santana de Moraes, Josko Gvardiol, Michail Antonio, Mohamed Salah, Trent Alexander-Arnold, Yoane Wissa","Andrew Robertson, Bruno Borges Fernandes, Bryan Mbeumo, Cole Palmer, Daniel Munoz, Dejan Kulusevski, Ederson Santana de Moraes, Josko Gvardiol, Michail Antonio, Mohamed Salah, Yoane Wissa",Mohamed Salah,Cole Palmer,Bruno Borges Fernandes,James Maddison,7.999999999999997,17.0,0,1,88.28184080503512,,33.0,33.0,13.0,46.0
165,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bruno Borges Fernandes, Bryan Mbeumo, Cole Palmer, Daniel Jebbison, Daniel Munoz, Dejan Kulusevski, Ederson Santana de Moraes, Josko Gvardiol, Michail Antonio, Mohamed Salah, Pedro Porro, Yoane Wissa","Andrew Robertson, Bruno Borges Fernandes, Bryan Mbeumo, Cole Palmer, Dejan Kulusevski, Ederson Santana de Moraes, Josko Gvardiol, Michail Antonio, Mohamed Salah, Pedro Porro, Yoane Wissa",Mohamed Salah,Cole Palmer,Pedro Porro,Trent Alexander-Arnold,22.000000000000192,7.999999999999997,0,1,87.81743298456834,,68.0,57.0,13.0,70.0
166,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bruno Borges Fernandes, Bryan Mbeumo, Cole Palmer, Daniel Jebbison, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Josko Gvardiol, Michail Antonio, Mohamed Salah, Pedro Porro, Yoane Wissa","Andrew Robertson, Bruno Borges Fernandes, Bryan Mbeumo, Cole Palmer, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Michail Antonio, Mohamed Salah, Pedro Porro, Yoane Wissa",Mohamed Salah,Cole Palmer,Dean Henderson,Ederson Santana de Moraes,33.0,22.000000000000192,0,1,87.7725682138763,,55.0,49.0,18.0,67.0
167,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bruno Borges Fernandes, Bryan Mbeumo, Bukayo Saka, Cole Palmer, Daniel Jebbison, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Josko Gvardiol, Michail Antonio, Pedro Porro, Yoane Wissa","Bruno Borges Fernandes, Bryan Mbeumo, Bukayo Saka, Cole Palmer, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Josko Gvardiol, Michail Antonio, Pedro Porro, Yoane Wissa",Bukayo Saka,Cole Palmer,Bukayo Saka,Mohamed Salah,60.0,33.0,0,1,89.72641811897117,,69.0,68.0,2.0,70.0
168,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bryan Mbeumo, Bukayo Saka, Cole Palmer, Daniel Jebbison, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Josko Gvardiol, Michail Antonio, Mohamed Salah, Pedro Porro, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Cole Palmer, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Josko Gvardiol, Mohamed Salah, Pedro Porro, Yoane Wissa",Mohamed Salah,Bukayo Saka,Mohamed Salah,Bruno Borges Fernandes,10.0,60.0,0,1,96.00630448018688,,43.0,43.0,5.0,48.0
169,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bryan Mbeumo, Bukayo Saka, Cole Palmer, Daniel Jebbison, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Josko Gvardiol, Jørgen Strand Larsen, Mohamed Salah, Pedro Porro, Yoane Wissa","Bryan Mbeumo, Bukayo Saka, Cole Palmer, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Josko Gvardiol, Jørgen Strand Larsen, Mohamed Salah, Pedro Porro, Yoane Wissa",Mohamed Salah,Cole Palmer,Jørgen Strand Larsen,Michail Antonio,7.0,10.0,0,1,96.55344047044106,,37.0,36.0,21.0,57.0
170,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bryan Mbeumo, Bukayo Saka, Cole Palmer, Daniel Jebbison, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Iliman Ndiaye, Josko Gvardiol, Mohamed Salah, Pedro Porro, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Cole Palmer, Dean Henderson, Dejan Kulusevski, Iliman Ndiaye, Josko Gvardiol, Mohamed Salah, Pedro Porro, Yoane Wissa",Mohamed Salah,Cole Palmer,Iliman Ndiaye,Jørgen Strand Larsen,9.000000000000034,7.0,0,1,97.90383204049256,,53.0,46.0,9.0,55.0
171,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bryan Mbeumo, Cole Palmer, Daniel Jebbison, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Iliman Ndiaye, Jarrod Bowen, Josko Gvardiol, Mohamed Salah, Pedro Porro, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Cole Palmer, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Iliman Ndiaye, Jarrod Bowen, Josko Gvardiol, Mohamed Salah, Yoane Wissa",Mohamed Salah,Cole Palmer,Jarrod Bowen,Bukayo Saka,37.0,9.000000000000034,0,1,96.88679532793834,,55.0,51.0,16.0,67.0
172,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bryan Mbeumo, Cole Palmer, Daniel Jebbison, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Gabriel Martinelli Silva, Iliman Ndiaye, Josko Gvardiol, Mohamed Salah, Pedro Porro, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Cole Palmer, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Gabriel Martinelli Silva, Iliman Ndiaye, Josko Gvardiol, Mohamed Salah, Yoane Wissa",Mohamed Salah,Cole Palmer,Gabriel Martinelli Silva,Jarrod Bowen,43.0,37.0,0,1,95.04578216078984,,64.0,59.0,7.0,66.0
173,"Aaron Cresswell, Andrew Robertson, Brandon Austin, Bryan Mbeumo, Cole Palmer, Daniel Jebbison, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Iliman Ndiaye, Josko Gvardiol, Mohamed Salah, Pedro Porro, Phil Foden, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Cole Palmer, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Iliman Ndiaye, Josko Gvardiol, Mohamed Salah, Phil Foden, Yoane Wissa",Mohamed Salah,Cole Palmer,Phil Foden,Gabriel Martinelli Silva,19.0,43.0,0,1,98.58421881499571,,58.0,55.0,2.0,57.0
174,"Aaron Cresswell, Brandon Austin, Bryan Mbeumo, Cole Palmer, Daniel Jebbison, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Iliman Ndiaye, Josko Gvardiol, Mohamed Salah, Pedro Porro, Phil Foden, Trent Alexander-Arnold, Yoane Wissa","Bryan Mbeumo, Cole Palmer, Daniel Munoz, Dean Henderson, Dejan Kulusevski, Iliman Ndiaye, Josko Gvardiol, Mohamed Salah, Phil Foden, Trent Alexander-Arnold, Yoane Wissa",Mohamed Salah,Cole Palmer,Trent Alexander-Arnold,Andrew Robertson,6.0,19.0,0,1,119.53743922951033,,75.0,73.0,3.0,76.0
175,"Aaron Cresswell, Brandon Austin, Bryan Mbeumo, Cole Palmer, Daniel Jebbison, Daniel Munoz, Dejan Kulusevski, Iliman Ndiaye, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Pedro Porro, Phil Foden, Trent Alexander-Arnold, Yoane Wissa","Bryan Mbeumo, Cole Palmer, Daniel Munoz, Dejan Kulusevski, Iliman Ndiaye, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Phil Foden, Trent Alexander-Arnold, Yoane Wissa",Mohamed Salah,Cole Palmer,Jordan Pickford,Dean Henderson,1.0,6.0,0,1,128.01447603068522,,66.0,58.0,8.0,66.0
176,"Aaron Cresswell, Alexis Mac Allister, Brandon Austin, Bryan Mbeumo, Cole Palmer, Daniel Jebbison, Daniel Munoz, Dejan Kulusevski, Iliman Ndiaye, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Pedro Porro, Trent Alexander-Arnold, Yoane Wissa","Alexis Mac Allister, Bryan Mbeumo, Cole Palmer, Daniel Munoz, Dejan Kulusevski, Iliman Ndiaye, Jordan Pickford, Mohamed Salah, Pedro Porro, Trent Alexander-Arnold, Yoane Wissa",Mohamed Salah,Alexis Mac Allister,Alexis Mac Allister,Phil Foden,31.9999999999999,1.0,0,1,127.19941357100099,,97.0,95.0,29.0,124.0
