gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,budget_start,alpha,q_start,objective_value,chip_played,actual_squad_points,actual_lineup_points,actual_captain_points,actual_total_points
153,"Aaron Cresswell, Andrew Robertson, Daniel Jebbison, Daniel Munoz, Joao Pedro Junqueira de Jesus, Jordan Pickford, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Phil Foden, Son Heung-min, Tom King, Valentin Barco, Virgil van Dijk, Yoane Wissa","Andrew Robertson, Daniel Munoz, Joao Pedro Junqueira de Jesus, Jordan Pickford, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Phil Foden, Son Heung-min, Virgil van Dijk, Yoane Wissa",Mohamed Salah,Son Heung-min,,,0.0,1000.0,0,1,95.03880762509017,,54.0,53.0,14.0,67.0
154,"Aaron Cresswell, Andrew Robertson, Daniel Jebbison, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Joao Pedro Junqueira de Jesus, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Tom King, Valentin Barco, Virgil van Dijk, Yoane Wissa","Andrew Robertson, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Joao Pedro Junqueira de Jesus, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Virgil van Dijk, Yoane Wissa",Mohamed Salah,Kevin De Bruyne,"Eberechi Eze, Ederson Santana de Moraes","Jordan Pickford, Phil Foden",20.0,0.0,0,2,94.19938457770547,,70.0,68.0,10.0,78.0
155,"Aaron Cresswell, Andrew Robertson, Daniel Jebbison, Daniel Munoz, Eberechi Eze, Ederson Santana de Moraes, Joao Pedro Junqueira de Jesus, Josko Gvardiol, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Tom King, Virgil van Dijk, Yoane Wissa","Andrew Robertson, Eberechi Eze, Ederson Santana de Moraes, Joao Pedro Junqueira de Jesus, Josko Gvardiol, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Virgil van Dijk, Yoane Wissa",Mohamed Salah,Kevin De Bruyne,Josko Gvardiol,Valentin Barco,0.0,20.0,0,1,93.78877133786264,,65.0,64.0,17.0,81.0
156,"Aaron Cresswell, Andrew Robertson, Daniel Jebbison, Daniel Munoz, Eberechi Eze, Joao Pedro Junqueira de Jesus, Jordan Pickford, Josko Gvardiol, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Tom King, Virgil van Dijk, Yoane Wissa","Andrew Robertson, Daniel Munoz, Eberechi Eze, Joao Pedro Junqueira de Jesus, Jordan Pickford, Josko Gvardiol, Kevin De Bruyne, Martin Ødegaard, Mohamed Salah, Son Heung-min, Yoane Wissa",Mohamed Salah,Kevin De Bruyne,Jordan Pickford,Ederson Santana de Moraes,6.0,0.0,0,1,93.75709941388098,,22.0,20.0,2.0,22.0
157,"Aaron Cresswell, Andrew Robertson, Bryan Mbeumo, Daniel Jebbison, Daniel Munoz, Eberechi Eze, Joao Pedro Junqueira de Jesus, Jordan Pickford, Josko Gvardiol, Kevin De Bruyne, Mohamed Salah, Son Heung-min, Tom King, Virgil van Dijk, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Daniel Munoz, Eberechi Eze, Jordan Pickford, Josko Gvardiol, Kevin De Bruyne, Mohamed Salah, Son Heung-min, Virgil van Dijk, Yoane Wissa",Mohamed Salah,Son Heung-min,Bryan Mbeumo,Martin Ødegaard,17.99999999999988,6.0,0,1,92.56251205898724,,50.0,48.0,6.0,54.0
158,"Aaron Cresswell, Andrew Robertson, Bryan Mbeumo, Daniel Jebbison, Daniel Munoz, Eberechi Eze, James Maddison, Joao Pedro Junqueira de Jesus, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Son Heung-min, Tom King, Virgil van Dijk, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Daniel Munoz, Eberechi Eze, James Maddison, Joao Pedro Junqueira de Jesus, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Son Heung-min, Virgil van Dijk",Mohamed Salah,Son Heung-min,James Maddison,Kevin De Bruyne,38.0,17.99999999999988,0,1,93.07018050293306,,40.0,40.0,10.0,50.0
159,"Aaron Cresswell, Andrew Robertson, Bryan Mbeumo, Daniel Jebbison, Daniel Munoz, Eberechi Eze, James Maddison, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Son Heung-min, Tom King, Virgil van Dijk, Yoane Wissa","Andrew Robertson, Bryan Mbeumo, Daniel Munoz, Eberechi Eze, James Maddison, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Son Heung-min, Virgil van Dijk",Mohamed Salah,Bryan Mbeumo,Ollie Watkins,Joao Pedro Junqueira de Jesus,1.9999999999999076,38.0,0,1,90.18075436710956,,52.0,51.0,3.0,54.0
160,"Aaron Cresswell, Andrew Robertson, Bryan Mbeumo, Daniel Jebbison, Daniel Munoz, Eberechi Eze, James Maddison, Jordan Pickford, Josko Gvardiol, Michail Antonio, Mohamed Salah, Ollie Watkins, Son Heung-min, Tom King, Virgil van Dijk","Andrew Robertson, Bryan Mbeumo, Eberechi Eze, James Maddison, Jordan Pickford, Josko Gvardiol, Michail Antonio, Mohamed Salah, Ollie Watkins, Son Heung-min, Virgil van Dijk",Mohamed Salah,James Maddison,Michail Antonio,Yoane Wissa,6.999999999999999,1.9999999999999076,0,1,86.94677338196783,,59.0,58.0,12.0,70.0
161,"Aaron Cresswell, Andrew Robertson, Bryan Mbeumo, Daniel Jebbison, Daniel Munoz, Eberechi Eze, James Maddison, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Raul Jimenez, Son Heung-min, Tom King, Virgil van Dijk","Bryan Mbeumo, Daniel Munoz, Eberechi Eze, James Maddison, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Raul Jimenez, Son Heung-min, Virgil van Dijk",Mohamed Salah,Bryan Mbeumo,Raul Jimenez,Michail Antonio,4.0,6.999999999999999,0,1,90.98309943070927,,61.0,60.0,10.0,70.0
162,"Aaron Cresswell, Andrew Robertson, Bryan Mbeumo, Bukayo Saka, Daniel Jebbison, Daniel Munoz, Eberechi Eze, James Maddison, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Raul Jimenez, Tom King, Virgil van Dijk","Bryan Mbeumo, Bukayo Saka, Daniel Munoz, Eberechi Eze, James Maddison, Jordan Pickford, Josko Gvardiol, Mohamed Salah, Ollie Watkins, Raul Jimenez, Virgil van Dijk",Mohamed Salah,Bukayo Saka,Bukayo Saka,Son Heung-min,2.0,4.0,0,1,92.75105108612335,,41.0,41.0,9.0,50.0
