gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,alpha,q_start,objective_value,chip_played,budget_start,objective_gw,actual_squad_points,actual_lineup_points,actual_captain_points,actual_total_points
77,"Bryan Mbeumo, Cristian Romero, Danny Welbeck, David Raya Martin, Dean Henderson, Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Joelinton Cassio Apolinario de Lira, Kai Havertz, Luis Diaz, Mateo Kovacic, Max Kilman, Mohamed Salah, Trent Alexander-Arnold","Bryan Mbeumo, Danny Welbeck, David Raya Martin, Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Joelinton Cassio Apolinario de Lira, Kai Havertz, Mateo Kovacic, Mohamed Salah, Trent Alexander-Arnold",Mohamed Salah,Danny Welbeck,,,54.0,0,1,1140.7579999999998,,1000.0,120.241,113,105,14.000000000000002,119
78,"Bryan Mbeumo, Cole Palmer, Cristian Romero, Danny Welbeck, David Raya Martin, Dean Henderson, Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Kai Havertz, Luis Diaz, Max Kilman, Mohamed Salah, Noni Madueke, Trent Alexander-Arnold","Cole Palmer, Cristian Romero, Danny Welbeck, David Raya Martin, Erling Haaland, Gabriel dos Santos Magalhaes, Luis Diaz, Max Kilman, Mohamed Salah, Noni Madueke, Trent Alexander-Arnold",Noni Madueke,Erling Haaland,"Cole Palmer, Noni Madueke","Joelinton Cassio Apolinario de Lira, Mateo Kovacic",0.0,0,2,1133.0879999999997,,54.0,156.726,140,135,20.0,155
79,"Bryan Mbeumo, Cole Palmer, Dean Henderson, Diogo Dalot Teixeira, Dominic Calvert-Lewin, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Kai Havertz, Lucas Digne, Luis Diaz, Mohamed Salah, Rico Lewis, Robert Sanchez, Trent Alexander-Arnold","Bryan Mbeumo, Dean Henderson, Dominic Calvert-Lewin, Erling Haaland, Harvey Barnes, Kai Havertz, Lucas Digne, Luis Diaz, Mohamed Salah, Rico Lewis, Trent Alexander-Arnold",Erling Haaland,Mohamed Salah,"Dominic Calvert-Lewin, Harvey Barnes, Lucas Digne, Rico Lewis, Robert Sanchez","Cristian Romero, Danny Welbeck, David Raya Martin, Max Kilman, Noni Madueke",13.0,4,1,1087.8779999999997,,0.0,117.77099999999999,126,115,17.0,132
80,"Bryan Mbeumo, Cole Palmer, Dean Henderson, Diogo Dalot Teixeira, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Jean-Philippe Mateta, Lucas Digne, Luis Diaz, Matthijs de Ligt, Ollie Watkins, Robert Sanchez, Trent Alexander-Arnold","Cole Palmer, Diogo Dalot Teixeira, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Jean-Philippe Mateta, Lucas Digne, Matthijs de Ligt, Ollie Watkins, Robert Sanchez",Matthijs de Ligt,Robert Sanchez,"Dwight McNeil, Jean-Philippe Mateta, Matthijs de Ligt, Ollie Watkins","Dominic Calvert-Lewin, Kai Havertz, Mohamed Salah, Rico Lewis",60.0,3,1,1111.6719999999996,,13.0,126.541,129,122,15.0,137
81,"Bryan Mbeumo, Cole Palmer, Dean Henderson, Diogo Dalot Teixeira, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Lucas Digne, Luis Diaz, Matthijs de Ligt, Nicolas Jackson, Ollie Watkins, Robert Sanchez, Trent Alexander-Arnold","Bryan Mbeumo, Cole Palmer, Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Matthijs de Ligt, Nicolas Jackson, Robert Sanchez, Trent Alexander-Arnold",Luis Diaz,Nicolas Jackson,Nicolas Jackson,Jean-Philippe Mateta,58.0,0,1,1137.2369999999996,,60.0,127.67099999999999,128,110,16.0,126
82,"Bryan Mbeumo, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, Guglielmo Vicario, James Justin, Jordan Pickford, Josko Gvardiol, Liam Delap, Lucas Digne, Mohamed Salah, Nicolas Jackson, Ollie Watkins, Rayan Ait-Nouri, Trent Alexander-Arnold","Bryan Mbeumo, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, Guglielmo Vicario, James Justin, Josko Gvardiol, Liam Delap, Mohamed Salah, Ollie Watkins, Rayan Ait-Nouri",Cole Palmer,Dwight McNeil,"Gabriel Martinelli Silva, Guglielmo Vicario, James Justin, Jordan Pickford, Josko Gvardiol, Liam Delap, Mohamed Salah, Rayan Ait-Nouri","Dean Henderson, Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Matthijs de Ligt, Robert Sanchez",111.0,7,1,1150.0509999999997,,58.0,129.555,139,131,25.0,156
83,"Bryan Mbeumo, Bukayo Saka, James Justin, Jarrod Bowen, Jordan Pickford, Josko Gvardiol, Lucas Digne, Mateo Kovacic, Matheus Santos Carneiro Da Cunha, Matz Sels, Michail Antonio, Mohamed Salah, Nicolas Jackson, Rayan Ait-Nouri, Trent Alexander-Arnold","Bryan Mbeumo, Bukayo Saka, James Justin, Jarrod Bowen, Jordan Pickford, Lucas Digne, Mateo Kovacic, Matheus Santos Carneiro Da Cunha, Michail Antonio, Rayan Ait-Nouri, Trent Alexander-Arnold",Michail Antonio,Bukayo Saka,"Bukayo Saka, Jarrod Bowen, Mateo Kovacic, Matheus Santos Carneiro Da Cunha, Matz Sels, Michail Antonio","Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, Guglielmo Vicario, Liam Delap, Ollie Watkins",147.0,5,1,1132.8599999999994,,111.0,127.64099999999999,137,128,18.0,146
84,"Ashley Young, Bryan Mbeumo, Bukayo Saka, Chris Wood, Curtis Jones, Jordan Pickford, Josko Gvardiol, Justin Kluivert, Lucas Digne, Matheus Santos Carneiro Da Cunha, Matz Sels, Michael Keane, Mohamed Salah, Murillo Santiago Costa dos Santos, Nicolas Jackson","Ashley Young, Chris Wood, Curtis Jones, Josko Gvardiol, Justin Kluivert, Lucas Digne, Matz Sels, Michael Keane, Mohamed Salah, Murillo Santiago Costa dos Santos, Nicolas Jackson",Michael Keane,Curtis Jones,"Ashley Young, Chris Wood, Curtis Jones, Justin Kluivert, Michael Keane, Murillo Santiago Costa dos Santos","James Justin, Jarrod Bowen, Mateo Kovacic, Michail Antonio, Rayan Ait-Nouri, Trent Alexander-Arnold",192.0,5,1,1130.9069999999995,,147.0,97.33,112,102,14.0,116
85,"Alex Iwobi, Ashley Young, Bryan Mbeumo, Bukayo Saka, Chris Wood, Jordan Pickford, Josko Gvardiol, Justin Kluivert, Lucas Digne, Matheus Santos Carneiro Da Cunha, Matz Sels, Michael Keane, Mohamed Salah, Murillo Santiago Costa dos Santos, Nicolas Jackson","Alex Iwobi, Ashley Young, Bryan Mbeumo, Bukayo Saka, Chris Wood, Josko Gvardiol, Lucas Digne, Matheus Santos Carneiro Da Cunha, Matz Sels, Mohamed Salah, Nicolas Jackson",Bryan Mbeumo,Chris Wood,Alex Iwobi,Curtis Jones,190.0,0,1,1191.2929999999997,,192.0,119.332,111,103,15.0,118
86,"Aaron Wan-Bissaka, Alexander Isak, Ashley Young, Bruno Borges Fernandes, Dominic Solanke, Harry Wilson, Joao Victor Gomes da Silva, Jordan Pickford, Josko Gvardiol, Justin Kluivert, Matheus Santos Carneiro Da Cunha, Matz Sels, Mohamed Salah, Murillo Santiago Costa dos Santos, Ola Aina","Alexander Isak, Bruno Borges Fernandes, Dominic Solanke, Harry Wilson, Joao Victor Gomes da Silva, Josko Gvardiol, Matheus Santos Carneiro Da Cunha, Matz Sels, Mohamed Salah, Murillo Santiago Costa dos Santos, Ola Aina",Dominic Solanke,Ola Aina,"Aaron Wan-Bissaka, Alexander Isak, Bruno Borges Fernandes, Dominic Solanke, Harry Wilson, Joao Victor Gomes da Silva, Ola Aina","Alex Iwobi, Bryan Mbeumo, Bukayo Saka, Chris Wood, Lucas Digne, Michael Keane, Nicolas Jackson",225.0,6,1,1178.1979999999999,,190.0,100.541,115,107,16.0,123
