gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,alpha,q_start,objective_value,chip_played,budget_start,objective_gw,actual_squad_points,actual_lineup_points,actual_captain_points,actual_total_points
77,"Bukayo Saka, Cristian Romero, Danny Welbeck, David Raya Martin, Erling Haaland, Joelinton Cassio Apolinario de Lira, Kai Havertz, Luis Diaz, Mateo Kovacic, Max Kilman, Mohamed Salah, Nick Pope, Pedro Porro, Rico Lewis, Trent Alexander-Arnold","Bukayo Saka, Danny Welbeck, Erling Haaland, Joelinton Cassio Apolinario de Lira, Kai Havertz, Mateo Kovacic, Mohamed Salah, Nick Pope, Pedro Porro, Rico Lewis, Trent Alexander-Arnold",Mohamed Salah,Danny Welbeck,,,54.0,0,1,412.7789999999999,,1000.0,126.241,125,111,14.000000000000002,125
78,"Cole Palmer, Cristian Romero, Danny Welbeck, David Raya Martin, Dominic Calvert-Lewin, Erling Haaland, Luis Diaz, Max Kilman, Mohamed Salah, Nick Pope, Noni Madueke, Ola Aina, Rico Lewis, Son Heung-min, Trent Alexander-Arnold","Cole Palmer, Cristian Romero, Danny Welbeck, David Raya Martin, Erling Haaland, Luis Diaz, Max Kilman, Mohamed Salah, Noni Madueke, Ola Aina, Son Heung-min",Noni Madueke,Cole Palmer,"Cole Palmer, Dominic Calvert-Lewin, Noni Madueke, Ola Aina, Son Heung-min","Bukayo Saka, Joelinton Cassio Apolinario de Lira, Kai Havertz, Mateo Kovacic, Pedro Porro",31.0,3,2,396.0639999999999,,54.0,157.772,161,148,20.0,168
79,"Bryan Mbeumo, Diogo Dalot Teixeira, Dominic Calvert-Lewin, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Mohamed Salah, Nick Pope, Ola Aina, Ollie Watkins, Rico Lewis, Robert Sanchez, Trent Alexander-Arnold","Bryan Mbeumo, Dominic Calvert-Lewin, Dwight McNeil, Erling Haaland, Harvey Barnes, Luis Diaz, Mohamed Salah, Nick Pope, Ola Aina, Rico Lewis, Trent Alexander-Arnold",Mohamed Salah,Erling Haaland,"Bryan Mbeumo, Diogo Dalot Teixeira, Dwight McNeil, Gabriel dos Santos Magalhaes, Harvey Barnes, Ollie Watkins, Robert Sanchez","Cole Palmer, Cristian Romero, Danny Welbeck, David Raya Martin, Max Kilman, Noni Madueke, Son Heung-min",76.0,6,1,366.9819999999999,,31.0,102.76100000000001,118,108,17.0,125
80,"Bryan Mbeumo, Diogo Dalot Teixeira, Dominic Calvert-Lewin, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Matthijs de Ligt, Mohamed Salah, Nick Pope, Ola Aina, Ollie Watkins, Robert Sanchez, Trent Alexander-Arnold","Diogo Dalot Teixeira, Dominic Calvert-Lewin, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Matthijs de Ligt, Ola Aina, Ollie Watkins, Robert Sanchez",Matthijs de Ligt,Robert Sanchez,Matthijs de Ligt,Rico Lewis,73.0,0,1,401.76199999999994,WC,76.0,135.531,127,119,15.0,134
81,"Bryan Mbeumo, Diogo Dalot Teixeira, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Matthijs de Ligt, Mohamed Salah, Nick Pope, Nicolas Jackson, Ola Aina, Ollie Watkins, Robert Sanchez, Trent Alexander-Arnold","Bryan Mbeumo, Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Matthijs de Ligt, Nicolas Jackson, Ollie Watkins, Robert Sanchez, Trent Alexander-Arnold",Nicolas Jackson,Luis Diaz,Nicolas Jackson,Dominic Calvert-Lewin,56.0,0,1,393.91700000000003,,73.0,125.66999999999999,119,108,16.0,124
82,"Bryan Mbeumo, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, James Justin, Jordan Pickford, Josko Gvardiol, Liam Delap, Michail Antonio, Mohamed Salah, Nathan Collins, Nick Pope, Ollie Watkins, Rayan Ait-Nouri, Trent Alexander-Arnold","Bryan Mbeumo, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, James Justin, Josko Gvardiol, Liam Delap, Mohamed Salah, Nick Pope, Ollie Watkins, Rayan Ait-Nouri",Cole Palmer,Dwight McNeil,"Cole Palmer, Gabriel Martinelli Silva, James Justin, Jordan Pickford, Josko Gvardiol, Liam Delap, Michail Antonio, Nathan Collins, Rayan Ait-Nouri","Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Matthijs de Ligt, Nicolas Jackson, Ola Aina, Robert Sanchez",160.0,8,1,367.5329999999999,,56.0,122.561,138,128,25.0,153
83,"Bryan Mbeumo, Bukayo Saka, Danny Welbeck, James Justin, Jarrod Bowen, Jordan Pickford, Josko Gvardiol, Mateo Kovacic, Michail Antonio, Mohamed Salah, Nathan Collins, Nick Pope, Ollie Watkins, Rayan Ait-Nouri, Trent Alexander-Arnold","Bryan Mbeumo, Bukayo Saka, Danny Welbeck, James Justin, Jarrod Bowen, Jordan Pickford, Mateo Kovacic, Michail Antonio, Nathan Collins, Rayan Ait-Nouri, Trent Alexander-Arnold",Michail Antonio,Bukayo Saka,"Bukayo Saka, Danny Welbeck, Jarrod Bowen, Mateo Kovacic","Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, Liam Delap",161.0,3,1,353.29799999999994,,160.0,136.641,141,129,18.0,147
84,"Bryan Mbeumo, Bukayo Saka, Chris Wood, Curtis Jones, Danny Welbeck, Josko Gvardiol, Justin Kluivert, Matz Sels, Michael Keane, Milos Kerkez, Mohamed Salah, Nick Pope, Ola Aina, Ollie Watkins, Rayan Ait-Nouri","Chris Wood, Curtis Jones, Danny Welbeck, Josko Gvardiol, Justin Kluivert, Matz Sels, Michael Keane, Milos Kerkez, Mohamed Salah, Ola Aina, Ollie Watkins",Michael Keane,Curtis Jones,"Chris Wood, Curtis Jones, Justin Kluivert, Matz Sels, Michael Keane, Milos Kerkez, Ola Aina","James Justin, Jarrod Bowen, Jordan Pickford, Mateo Kovacic, Michail Antonio, Nathan Collins, Trent Alexander-Arnold",210.0,6,1,327.22999999999996,,161.0,99.325,114,108,14.0,122
85,"Alex Iwobi, Bryan Mbeumo, Bukayo Saka, Chris Wood, Danny Welbeck, Josko Gvardiol, Justin Kluivert, Matz Sels, Milos Kerkez, Mohamed Salah, Nick Pope, Ola Aina, Rayan Ait-Nouri, Trevoh Chalobah, Yoane Wissa","Alex Iwobi, Bryan Mbeumo, Bukayo Saka, Chris Wood, Danny Welbeck, Josko Gvardiol, Matz Sels, Mohamed Salah, Rayan Ait-Nouri, Trevoh Chalobah, Yoane Wissa",Bryan Mbeumo,Chris Wood,"Alex Iwobi, Trevoh Chalobah, Yoane Wissa","Curtis Jones, Michael Keane, Ollie Watkins",238.0,2,1,345.3389999999999,,210.0,111.332,111,103,15.0,118
86,"Bruno Borges Fernandes, Bukayo Saka, Chris Wood, Dominic Solanke, Harry Wilson, Joao Victor Gomes da Silva, Jordan Pickford, Josko Gvardiol, Matz Sels, Milos Kerkez, Mohamed Salah, Ola Aina, Rayan Ait-Nouri, Trevoh Chalobah, Yoane Wissa","Bruno Borges Fernandes, Chris Wood, Dominic Solanke, Harry Wilson, Joao Victor Gomes da Silva, Josko Gvardiol, Matz Sels, Milos Kerkez, Mohamed Salah, Ola Aina, Trevoh Chalobah",Dominic Solanke,Ola Aina,"Bruno Borges Fernandes, Dominic Solanke, Harry Wilson, Joao Victor Gomes da Silva, Jordan Pickford","Alex Iwobi, Bryan Mbeumo, Danny Welbeck, Justin Kluivert, Nick Pope",225.0,4,1,373.66999999999996,,238.0,111.531,117,110,16.0,126
