gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,alpha,q_start,objective_value,chip_played,budget_start,objective_gw,actual_squad_points,actual_lineup_points,actual_captain_points,actual_total_points
77,"Alexander Isak, Antonee Robinson, Benjamin White, Dan Burn, David Raya Martin, Declan Rice, Erling Haaland, Kieran Trippier, Marcus Rashford, Max Kilman, Mohamed Salah, Mohammed Kudus, Oliwier Zych, Ollie Watkins, Son Heung-min","Benjamin White, Dan Burn, David Raya Martin, Declan Rice, Erling Haaland, Kieran Trippier, Marcus Rashford, Mohamed Salah, Mohammed Kudus, Ollie Watkins, Son Heung-min",Ollie Watkins,Mohamed Salah,,,0.0,0,1,54.74954014460896,,1000.0,54.74954014460895,60,52,2,54
78,"Alexander Isak, Antonee Robinson, Benjamin White, Dan Burn, Declan Rice, Erling Haaland, Guglielmo Vicario, Kieran Trippier, Marcus Rashford, Martin Odegaard, Max Kilman, Mohamed Salah, Mohammed Kudus, Oliwier Zych, Ollie Watkins","Benjamin White, Dan Burn, Declan Rice, Erling Haaland, Guglielmo Vicario, Kieran Trippier, Marcus Rashford, Martin Odegaard, Mohamed Salah, Mohammed Kudus, Ollie Watkins",Ollie Watkins,Erling Haaland,"Guglielmo Vicario, Martin Odegaard","David Raya Martin, Son Heung-min",20.0,0,2,53.713416459150764,,0.0,53.713416459150764,73,52,2,54
79,"Alexander Isak, Antonee Robinson, Benjamin White, Bernd Leno, Dan Burn, Declan Rice, Erling Haaland, Kieran Trippier, Marcus Rashford, Martin Odegaard, Max Kilman, Mohamed Salah, Mohammed Kudus, Oliwier Zych, Ollie Watkins","Alexander Isak, Benjamin White, Bernd Leno, Dan Burn, Declan Rice, Erling Haaland, Kieran Trippier, Martin Odegaard, Mohamed Salah, Mohammed Kudus, Ollie Watkins",Ollie Watkins,Erling Haaland,Bernd Leno,Guglielmo Vicario,20.0,0,1,51.05019355164165,,20.0,51.05019355164165,61,55,5,60
80,"Antonee Robinson, Benjamin White, Bernd Leno, Dan Burn, Declan Rice, Dominic Solanke, Erling Haaland, Kieran Trippier, Marcus Rashford, Martin Odegaard, Max Kilman, Mohamed Salah, Mohammed Kudus, Oliwier Zych, Ollie Watkins","Benjamin White, Bernd Leno, Dan Burn, Dominic Solanke, Erling Haaland, Kieran Trippier, Marcus Rashford, Martin Odegaard, Mohamed Salah, Mohammed Kudus, Ollie Watkins",Erling Haaland,Mohamed Salah,Dominic Solanke,Alexander Isak,30.0,0,1,51.49250831746038,WC,20.0,51.49250831746038,54,50,13,63
81,"Alexander Isak, Antonee Robinson, Benjamin White, Bernd Leno, Dan Burn, Declan Rice, Erling Haaland, Kieran Trippier, Marcus Rashford, Martin Odegaard, Max Kilman, Mohamed Salah, Mohammed Kudus, Oliwier Zych, Ollie Watkins","Alexander Isak, Benjamin White, Bernd Leno, Dan Burn, Declan Rice, Erling Haaland, Kieran Trippier, Martin Odegaard, Mohamed Salah, Mohammed Kudus, Ollie Watkins",Martin Odegaard,Mohamed Salah,Alexander Isak,Dominic Solanke,21.0,0,1,52.79762858987415,,30.0,52.79762858987415,34,31,0,31
82,"Alexander Isak, Antonee Robinson, Benjamin White, Bernd Leno, Dan Burn, Declan Rice, Erling Haaland, Jarrod Bowen, Kieran Trippier, Marcus Rashford, Martin Odegaard, Max Kilman, Mohamed Salah, Oliwier Zych, Ollie Watkins","Benjamin White, Bernd Leno, Dan Burn, Declan Rice, Erling Haaland, Jarrod Bowen, Kieran Trippier, Marcus Rashford, Martin Odegaard, Mohamed Salah, Ollie Watkins",Martin Odegaard,Erling Haaland,Jarrod Bowen,Mohammed Kudus,9.0,0,1,49.196538713404344,,21.0,49.196538713404344,46,38,0,38
83,"Alexander Isak, Antonee Robinson, Benjamin White, Bernd Leno, Dan Burn, Erling Haaland, Jarrod Bowen, Kieran Trippier, Marcus Rashford, Martin Odegaard, Max Kilman, Mohamed Salah, Morgan Gibbs-White, Oliwier Zych, Ollie Watkins","Antonee Robinson, Benjamin White, Bernd Leno, Erling Haaland, Jarrod Bowen, Kieran Trippier, Marcus Rashford, Martin Odegaard, Mohamed Salah, Morgan Gibbs-White, Ollie Watkins",Ollie Watkins,Mohamed Salah,Morgan Gibbs-White,Declan Rice,9.0,0,1,55.28394452446344,,9.0,55.28394452446344,44,34,2,36
84,"Alexander Isak, Antonee Robinson, Benjamin White, Bernd Leno, Bruno Borges Fernandes, Dan Burn, Erling Haaland, Jarrod Bowen, Kieran Trippier, Marcus Rashford, Max Kilman, Mohamed Salah, Morgan Gibbs-White, Oliwier Zych, Ollie Watkins","Benjamin White, Bernd Leno, Bruno Borges Fernandes, Dan Burn, Erling Haaland, Jarrod Bowen, Kieran Trippier, Marcus Rashford, Mohamed Salah, Morgan Gibbs-White, Ollie Watkins",Ollie Watkins,Mohamed Salah,Bruno Borges Fernandes,Martin Odegaard,9.0,0,1,49.684882891866174,,9.0,49.684882891866174,44,41,8,49
85,"Alexander Isak, Antonee Robinson, Benjamin White, Bernd Leno, Bruno Borges Fernandes, Dan Burn, Erling Haaland, Jarrod Bowen, Kieran Trippier, Marcus Rashford, Max Kilman, Mohamed Salah, Mohammed Kudus, Oliwier Zych, Ollie Watkins","Antonee Robinson, Benjamin White, Bernd Leno, Bruno Borges Fernandes, Erling Haaland, Jarrod Bowen, Kieran Trippier, Marcus Rashford, Mohamed Salah, Mohammed Kudus, Ollie Watkins",Ollie Watkins,Mohamed Salah,Mohammed Kudus,Morgan Gibbs-White,9.0,0,1,50.734792545541595,,9.0,50.734792545541595,46,37,2,39
86,"Alexander Isak, Antonee Robinson, Benjamin White, Bernd Leno, Bruno Borges Fernandes, Dan Burn, Declan Rice, Erling Haaland, Jarrod Bowen, Kieran Trippier, Marcus Rashford, Max Kilman, Mohamed Salah, Oliwier Zych, Ollie Watkins","Antonee Robinson, Benjamin White, Bernd Leno, Bruno Borges Fernandes, Declan Rice, Erling Haaland, Jarrod Bowen, Kieran Trippier, Marcus Rashford, Mohamed Salah, Ollie Watkins",Erling Haaland,Ollie Watkins,Declan Rice,Mohammed Kudus,8.0,0,1,52.14502621367816,,9.0,52.14502621367815,54,38,2,40
